wt,vol
3.3,0.325
5.5,0.325
11.8,0.325
5.6,0.325
5.6,0.325
6.8,1.35
2.5,0.325
3,0.325
14.8,1.35
10.7,1.35
41.2,2.88
47.3,2.88
3.8,0.325
19.8,1.35
3.8,0.325
3.4,0.325
2.9,0.325
29.6,1.35
21.9,1.35
22.5,1.35
2.2,0.325
17.5,1.35
2.8,0.325
3.2,0.325
0,0.325
27.8,1.35
4.2,0.325
65.7,2.88
