"","FishID","mass","vol","Replicates"
"1","Ito14",3.4,582,10
"2","Ito15",2.2,406,9
"3","Ito16",2.3,362,10
"4","Ito17",2.7,372,8
"5","Ito18",1.5,374,8
"6","Ito19",4.7,384,8
"7","Ito20",2.2,376,8
"8","Ito21",3.7,582,5
"9","Ito22",3,362,5
"10","Masu14",25.3,2340,8
"11","Masu15",26.1,2340,8
"12","Masu16",13,1370,6
"13","Masu17",13.5,1370,6
"14","Masu18",34.5,3690,6
"15","Masu19",13.1,2340,5
