"","FishID","mass","vol","Number of Replicates"
"1","Ito1",5.5,350,18
"2","Ito10",22.5,1350,10
"3","Ito2",11.8,350,18
"4","Ito3",5.6,350,18
"5","Ito5",14.8,1350,25
"6","Ito7",41.2,2880,21
"7","Ito8",3.8,350,11
"8","Ito9",19.8,1350,7
"9","Masu1",3.3,350,14
"10","Masu2",5.6,350,17
"11","Masu5",3.8,350,11
"12","Masu6",3.4,350,11
"13","Masu7",29.6,1350,11
"14","Masu9",2.9,350,11
