"","Fish ID","Species","Fish Mass","Chamber Volume","Trial"
"1","Ito1","Ito",5.5,350,1
"2","Ito10","Ito",22.5,1350,3
"3","Ito2","Ito",11.8,350,1
"4","Ito3","Ito",5.6,350,1
"5","Ito5","Ito",14.8,1350,2
"6","Ito7","Ito",41.2,2880,2
"7","Ito8","Ito",3.8,350,3
"8","Ito9","Ito",19.8,1350,3
"9","Masu1","Masu",3.3,350,1
"10","Masu2","Masu",5.6,350,2
"11","Masu5","Masu",3.8,350,3
"12","Masu6","Masu",3.4,350,3
"13","Masu7","Masu",29.6,1350,3
"14","Masu9","Masu",2.9,350,3
