"","X","FishID","Species","temp_bin","rate_ggd","rate_final","rep","mass","vol","trial","bath","lograte","lograte_ggd","day","no_mass_rate","mass_corrected","time"
"30",30,"Ito1","Ito",18,0.00373884765970342,2.59642198590515,56,5.5,350,1,1,0.954134337983396,-5.58897782741083,2,155.785319154309,1.80486671288093,1680
"31",31,"Ito1","Ito",19,0.00408414539392257,2.8362120791129,58,5.5,350,1,1,1.04246938694334,-5.50064277845088,2,170.172724746774,1.97155346860042,1740
"32",32,"Ito1","Ito",20,0.00447443380737076,3.10724569956303,62,5.5,350,1,1,1.13373670664157,-5.40937545875266,2,186.434741973782,2.15995872871514,1860
"33",33,"Ito2","Ito",18,0.00385684931313311,2.67836757856466,3,11.8,350,1,1,0.985207496462523,-5.5579046689317,1,160.70205471388,2.02491669729447,90
"34",34,"Ito2","Ito",18,0.0038018425080413,2.64016840836202,4,11.8,350,1,1,0.970842706169881,-5.57226945922435,1,158.410104501721,1.99603711475129,120
"35",35,"Ito2","Ito",19,0.00396280416876626,2.75194733942102,8,11.8,350,1,1,1.01230878450321,-5.53080338089102,1,165.116840365261,2.08054494172716,240
"36",36,"Ito2","Ito",19,0.00407406388780307,2.82921103319657,9,11.8,350,1,1,1.03999788593053,-5.5031142794637,1,169.752661991794,2.13895833683874,270
"37",37,"Ito2","Ito",20,0.00426605365897308,2.96253726317575,12,11.8,350,1,1,1.08604608466932,-5.45706608072491,1,177.752235790545,2.23975649144336,360
"38",38,"Ito2","Ito",20,0.00449603194861095,3.1222444087576,13,11.8,350,1,1,1.13855210498601,-5.40456006040822,1,187.334664525456,2.36049931567484,390
"39",39,"Ito2","Ito",20,0.00479251684790029,3.32813669993076,14,11.8,350,1,1,1.20241259781573,-5.3406995675785,1,199.688201995846,2.51615933096825,420
"40",40,"Ito2","Ito",20,0.00467167989224877,3.24422214739498,15,11.8,350,1,1,1.1768756133768,-5.36623655201743,1,194.653328843699,2.45271771080544,450
"41",41,"Ito2","Ito",22,0.00579239459171804,4.02249624424864,23,11.8,350,1,1,1.39190266619811,-5.15120949919612,1,241.349774654918,3.04111350322886,690
"42",42,"Ito2","Ito",22,0.00587777084971814,4.08178531230426,24,11.8,350,1,1,1.40653446925254,-5.13657769614169,1,244.907118738256,3.08593760610169,720
"43",43,"Ito2","Ito",21,0.00520820095977695,3.61680622206732,31,11.8,350,1,1,1.28559137732064,-5.25752078807359,1,217.008373324039,2.73440112124843,930
"44",44,"Ito2","Ito",21,0.00513332761925392,3.56481084670411,33,11.8,350,1,1,1.27111099403059,-5.27200117136364,1,213.888650802247,2.69509124287412,990
"45",45,"Ito2","Ito",21,0.00522456058886412,3.62816707560008,36,11.8,350,1,1,1.2887275829015,-5.25438458249273,1,217.690024536005,2.74299022686564,1080
"46",46,"Ito2","Ito",21,0.00513576643229522,3.56650446687168,37,11.8,350,1,1,1.27158597518763,-5.2715261902066,1,213.990268012301,2.69637166449498,1110
"47",47,"Ito2","Ito",17,0.00352381782133452,2.44709570926008,51,11.8,350,1,1,0.894901896593105,-5.64821026880112,2,146.825742555605,1.85006904997478,1530
"48",48,"Ito2","Ito",17,0.00380981760470182,2.64570666993182,54,11.8,350,1,1,0.972938201623088,-5.57017396377114,2,158.742400195909,2.00022418691287,1620
"49",49,"Ito2","Ito",18,0.00394354288620659,2.73857144875457,55,11.8,350,1,1,1.00743641537219,-5.53567575002203,2,164.314286925274,2.07043241476542,1650
"50",50,"Ito2","Ito",20,0.00495187636867115,3.43880303379941,63,11.8,350,1,1,1.23512345554395,-5.30798870985028,2,206.328182027965,2.59982600505452,1890
"51",51,"Ito3","Ito",17,0.00328377465962774,2.28039906918593,1,5.6,350,1,1,0.824350457995031,-5.7187617073992,1,136.823944151156,1.58833278211491,30
"52",52,"Ito3","Ito",18,0.00350114754098355,2.43135245901635,3,5.6,350,1,1,0.888447670022655,-5.65466449537157,1,145.881147540981,1.69347412376816,90
"53",53,"Ito3","Ito",18,0.00348445540427896,2.41976069741595,5,5.6,350,1,1,0.883668649913803,-5.65944351548042,1,145.185641844957,1.68540028476289,150
"54",54,"Ito3","Ito",19,0.00383566546262854,2.66365657126982,10,5.6,350,1,1,0.979699829679423,-5.5634123357148,1,159.819394276189,1.85527748612614,300
"55",55,"Ito3","Ito",19,0.00375850652959149,2.61007397888298,11,5.6,350,1,1,0.959378565332516,-5.58373360006171,1,156.604438732979,1.81795639211731,330
"56",56,"Ito3","Ito",20,0.00409452486801891,2.84342004723536,12,5.6,350,1,1,1.04500756963962,-5.49810459575461,1,170.605202834122,1.98048549281284,360
"57",57,"Ito3","Ito",22,0.00508731314253959,3.53285634898583,20,5.6,350,1,1,1.26210670776714,-5.28100545762709,1,211.97138093915,2.46068840731467,600
"58",58,"Ito3","Ito",22,0.00513108780216726,3.56325541817171,23,5.6,350,1,1,1.27067457032203,-5.2724375950722,1,213.795325090303,2.48186182331284,690
"59",59,"Ito3","Ito",21,0.00454393720477909,3.15551194776326,33,5.6,350,1,1,1.14915074836465,-5.39396141702957,1,189.330716865796,2.19786226836905,990
"60",60,"Ito3","Ito",21,0.00428939149763817,2.97874409558206,35,5.6,350,1,1,1.0915017672491,-5.45161039814513,1,178.724645734924,2.07474075940278,1050
"61",61,"Ito3","Ito",21,0.00420525562656292,2.92031640733536,36,5.6,350,1,1,1.07169196908631,-5.47142019630792,1,175.218984440122,2.0340449821244,1080
"62",62,"Ito3","Ito",21,0.00444832314531811,3.0891132953598,37,5.6,350,1,1,1.12788409029843,-5.41522807509579,1,185.346797721588,2.15161459280833,1110
"63",63,"Ito3","Ito",20,0.00431118505140312,2.99387850791883,38,5.6,350,1,1,1.09656970665668,-5.44654245873755,1,179.63271047513,2.08528210875578,1140
"64",64,"Ito3","Ito",20,0.00389406918588494,2.7042147124201,40,5.6,350,1,1,0.994811560509074,-5.54830060488515,1,162.252882745206,1.88352685091544,1200
