"","FishID","Species","Fish Mass","Chamber Volume"
"1","Ito14","Ito",3.4,582
"2","Ito16","Ito",2.3,362
"3","Ito17","Ito",2.7,372
"4","Ito18","Ito",1.5,374
"5","Ito19","Ito",4.7,384
"6","Ito20","Ito",2.2,376
"7","Ito21","Ito",3.7,582
"8","Ito22","Ito",3,362
"9","Masu14","Masu",25.3,2340
"10","Masu15","Masu",26.1,2340
"11","Masu16","Masu",13,1370
"12","Masu17","Masu",13.5,1370
"13","Masu18","Masu",34.5,3690
"14","Masu19","Masu",13.1,2340
