"","FishID","Species","temp_bin","rate","rate_final","rate_ggd","rep","trial","mass","vol","rsq","sd","deltatemp"
"1","Masu1","Masu",17,-0.000725215337593761,4.61500669377848,0.00664560963904101,1,1,3.3,350,0.995273408946156,0.00352120827878333,0.00600000000000023
"2","Masu1","Masu",17,-0.000610898860794662,3.88753820505694,0.00559805501528199,2,1,3.3,350,0.989339272307674,0.00446798839027502,0.0119999999999969
"3","Masu1","Masu",18,-0.000614476243400924,3.91030336709679,0.00563083684861938,3,1,3.3,350,0.990230093489628,0.00430035353566561,0.0150000000000006
"4","Masu1","Masu",18,-0.000586683801055844,3.73344237035537,0.00537615701331174,4,1,3.3,350,0.989849984560683,0.00418576341911851,0.0189999999999984
"5","Masu1","Masu",18,-0.000560225062517367,3.56506857965597,0.0051336987547046,5,1,3.3,350,0.993497597923654,0.00319328700310145,0.0200000000000031
"6","Masu1","Masu",18,-0.00129030286190608,8.21101821212962,0.0118238662254667,6,1,3.3,350,0.995995555205414,0.00576442556843751,0.0240000000000009
"7","Masu1","Masu",18,-0.000606751875520991,3.86114829876994,0.00556005355022871,7,1,3.3,350,0.988167697656114,0.00467791525796379,0.0259999999999998
"8","Masu1","Masu",19,-0.00102524312308974,6.52427441966195,0.00939495516431321,8,1,3.3,350,0.960092922776893,0.0147270957847694,0.0280000000000022
"9","Masu1","Masu",19,-0.00100645318143928,6.4047020637045,0.00922277097173447,9,1,3.3,350,0.986191332618992,0.00839094338217558,0.027000000000001
"10","Masu1","Masu",19,-0.000548152264517923,3.48824168329587,0.00502306802394606,10,1,3.3,350,0.96750710709682,0.00707766886998581,0.0269999999999975
"11","Masu1","Masu",19,-0.000969345651569881,6.16856323726288,0.00888273106165855,11,1,3.3,350,0.93256297546851,0.0183658359996775,0.0370000000000026
"12","Masu1","Masu",20,-0.00109096971380937,6.94253454242329,0.00999724974108954,15,1,3.3,350,0.989930868952825,0.00775225727887847,0.0229999999999997
"13","Masu1","Masu",21,-0.00155593220338982,9.90138674884429,0.0142579969183358,17,1,3.3,350,0.955340585818847,0.0237022724782079,0.0380000000000003
"14","Masu1","Masu",21,-0.000727035287579871,4.62658819369009,0.00666228699891373,18,1,3.3,350,0.977733470864713,0.00773024808319841,0.0310000000000024
"15","Masu1","Masu",21,-0.00069392886913031,4.4159109853747,0.00635891181893956,19,1,3.3,350,0.981716433928234,0.00667228053420445,0.0380000000000003
"16","Masu1","Masu",22,-0.000661204501250342,4.20766500795672,0.00605903761145768,20,1,3.3,350,0.948161104351507,0.010892925268344,0.0180000000000007
"17","Masu1","Masu",22,-0.00144054598499582,9.16711081360979,0.0132006395715981,22,1,3.3,350,0.956751340969024,0.0215792243255234,0.00600000000000023
"18","Masu1","Masu",22,-0.00086718532925812,5.51845209527894,0.00794657101720168,23,1,3.3,350,0.990647543510744,0.00593659069140812,0.0139999999999993
"19","Masu1","Masu",22,-0.000910363989997236,5.7932253908915,0.00834224456288376,24,1,3.3,350,0.983719617169371,0.00825151381497666,0.017000000000003
"20","Masu1","Masu",22,-0.000959759655459841,6.10756144383535,0.00879488847912291,25,1,3.3,350,0.983648431424551,0.00871854810505801,0.00799999999999912
"21","Masu1","Masu",22,-0.000829008057793838,5.27550582232443,0.00759672838414717,26,1,3.3,350,0.981720176676515,0.00797026590072475,0.0189999999999984
"22","Masu1","Masu",21,-0.000604126146151699,3.84443911187445,0.00553599232109921,27,1,3.3,350,0.961294248687354,0.00854100804809842,0.0199999999999996
"23","Masu1","Masu",21,-0.000799402611836607,5.08710752986932,0.00732543484301182,28,1,3.3,350,0.981294514433329,0.00777628717500924,0.0249999999999986
"24","Masu1","Masu",21,-0.000683516254515151,4.34964889236914,0.00626349440501157,29,1,3.3,350,0.981803803335591,0.00655614760717322,0.0229999999999997
"25","Masu1","Masu",21,-0.000712559044178935,4.53446664477504,0.00652963196847606,30,1,3.3,350,0.96980680746675,0.00885838763796937,0.0219999999999985
"26","Masu1","Masu",21,-0.000745616838010555,4.74483442370353,0.00683256157013308,31,1,3.3,350,0.994830812141328,0.00378681571619716,0.0269999999999975
"27","Masu1","Masu",21,-0.000857321478188384,5.45568213392608,0.00785618227285356,32,1,3.3,350,0.988151313664324,0.00661437783102781,0.0240000000000009
"28","Masu1","Masu",21,-0.000885141706029441,5.63271994746008,0.00811111672434252,33,1,3.3,350,0.97406300069516,0.0101765616032271,0.0210000000000008
"29","Masu1","Masu",21,-0.00078602389552654,5.0019702442598,0.00720283715173411,34,1,3.3,350,0.974283553934133,0.00899747105810005,0.0120000000000005
"30","Masu1","Masu",21,-0.000828521811614328,5.27241152845481,0.00759227260097493,35,1,3.3,350,0.980345791301272,0.00826540242780163,0.0160000000000018
"31","Masu1","Masu",21,-0.000787239510975268,5.00970597893353,0.00721397660966428,36,1,3.3,350,0.975866027497429,0.00872264324128707,0.0169999999999995
"32","Masu1","Masu",21,-0.000921429563767695,5.8636426785217,0.00844364545707125,37,1,3.3,350,0.984916968471528,0.00803393977822478,0.0219999999999985
"33","Masu1","Masu",20,-0.000702806335093078,4.47240395059232,0.00644026168885294,38,1,3.3,350,0.987610510668561,0.00554614780038939,0.0139999999999993
"34","Masu1","Masu",20,-0.000743581550430671,4.73188259364972,0.0068139109348556,39,1,3.3,350,0.990865699098257,0.00503014825516102,0.0139999999999993
"35","Masu1","Masu",20,-0.00124751319811056,7.93872035161268,0.0114317573063223,40,1,3.3,350,0.955962651891783,0.0188650163288927,0.017000000000003
"36","Masu1","Masu",20,-0.00142441650458459,9.06446866553832,0.0130528348783752,42,1,3.3,350,0.981654502899087,0.0137196909247545,0.0110000000000028
"37","Masu1","Masu",20,-0.000806223951097522,5.13051605243878,0.00738794311551184,43,1,3.3,350,0.91681544623782,0.0171103148359927,0.00799999999999912
"38","Masu1","Masu",20,-0.000537906362878584,3.42304049104553,0.00492917830710557,44,1,3.3,350,0.946454278099534,0.00901449020833966,0.0169999999999995
"39","Masu1","Masu",20,-0.00177982078355098,11.3261322589608,0.0163096304529035,45,1,3.3,350,0.959087054606778,0.025899987380427,0.00799999999999912
"40","Masu1","Masu",20,-0.000756376771325365,4.81330672661596,0.00693116168632698,46,1,3.3,350,0.986346030913319,0.00627010639130473,0.00400000000000134
"41","Masu1","Masu",20,-0.000671179494303974,4.27114223647984,0.00615044482053096,47,1,3.3,350,0.935089910480551,0.0124591960062381,0.00799999999999912
"42","Masu1","Masu",20,-0.000779924979160872,4.96315895829646,0.0071469488999469,48,1,3.3,350,0.991094103129354,0.00520902131841387,0
"43","Masu1","Masu",20,-0.000725090302861903,4.61421101821211,0.00664446386622543,49,1,3.3,350,0.972455004502498,0.0085980627851478,0.00499999999999901
"44","Masu1","Masu",17,-0.000480244512364538,3.05610144231979,0.00440078607694049,53,1,3.3,350,0.982023582991854,0.00457799105101301,0.0390000000000015
